Date,Month_Year,Month_Name,Month_Num,Year,Week_Number,Day_of_Week,Is_Weekend,Hour,Time_Bucket,Transaction_Type,Transaction_ID,Vehicle_Number,Vehicle_State,Tag_ID,Group_Name,Plaza_Code,Plaza_Name,Debit_Amount,Spend_Tier,Opening_Balance,Closing_Balance,Round_Trip_Flag
2026-03-20,Mar 2026,March,3,2026,12,Friday,Weekday,11,3-Midday (10am-2pm),Toll Txn,006370930057,KA01AQ6420,Karnataka,34161FA8203289DA1347C7E0,UNMAPPED GROUP,70001,Krishnavaram,375.0,High (₹300-500),14423.5,14048.5,No
2026-03-20,Mar 2026,March,3,2026,12,Friday,Weekday,10,3-Midday (10am-2pm),Toll Txn,006370879700,KA01AQ6424,Karnataka,34161FA8203289DA1347C800,UNMAPPED GROUP,546028,Nalluru Devanahalli,280.0,Medium (₹100-300),14703.5,14423.5,No
2026-03-20,Mar 2026,March,3,2026,12,Friday,Weekday,10,3-Midday (10am-2pm),Toll Txn,006370874364,KA01AQ6419,Karnataka,34161FA8203289DA1347C840,UNMAPPED GROUP,79001,Sakapur Toll plaza,285.0,Medium (₹100-300),14988.5,14703.5,No
2026-03-20,Mar 2026,March,3,2026,12,Friday,Weekday,9,2-Morning Peak (6-10am),Toll Txn,006370636987,KA01AQ6419,Karnataka,34161FA8203289DA1347C840,UNMAPPED GROUP,34001,Raikal Toll Plaza,295.0,Medium (₹100-300),15283.5,14988.5,No
2026-03-20,Mar 2026,March,3,2026,12,Friday,Weekday,9,2-Morning Peak (6-10am),Toll Txn,006370610878,KA01AQ6420,Karnataka,34161FA8203289DA1347C7E0,UNMAPPED GROUP,69001,Vempadu,485.0,High (₹300-500),768.5,283.5,No
2026-03-20,Mar 2026,March,3,2026,12,Friday,Weekday,9,2-Morning Peak (6-10am),Toll Txn,006370502120,KA01AQ6419,Karnataka,34161FA8203289DA1347C840,UNMAPPED GROUP,550016,Shamshabad,470.0,High (₹300-500),1238.5,768.5,No
2026-03-20,Mar 2026,March,3,2026,12,Friday,Weekday,8,2-Morning Peak (6-10am),Toll Txn,006370499056,KA01AQ6424,Karnataka,34161FA8203289DA1347C800,UNMAPPED GROUP,118001,Nelamangala Toll Plaza,205.0,Medium (₹100-300),1443.5,1238.5,No
2026-03-20,Mar 2026,March,3,2026,12,Friday,Weekday,8,2-Morning Peak (6-10am),Toll Txn,536419005200326084734,KA01AR9849,Karnataka,34161FA8203289DA134C3C00,UNMAPPED GROUP,536419,Vembukudi,345.0,High (₹300-500),1788.5,1443.5,No
2026-03-20,Mar 2026,March,3,2026,12,Friday,Weekday,8,2-Morning Peak (6-10am),Toll Txn,006370357385,KA01AQ9274,Karnataka,34161FA8203289DA134C1C60,UNMAPPED GROUP,42001,Vijayamangalam TollPlaza,245.0,Medium (₹100-300),2033.5,1788.5,No
2026-03-20,Mar 2026,March,3,2026,12,Friday,Weekday,7,2-Morning Peak (6-10am),Toll Txn,0010022603200702416562,KA01AQ6419,Karnataka,34161FA8203289DA1347C840,UNMAPPED GROUP,350027,Manoharabad,315.0,High (₹300-500),2348.5,2033.5,No
2026-03-20,Mar 2026,March,3,2026,12,Friday,Weekday,6,2-Morning Peak (6-10am),Toll Txn,006370161554,KA01AQ6424,Karnataka,34161FA8203289DA1347C800,UNMAPPED GROUP,118002,Bellur Toll Plaza,205.0,Medium (₹100-300),2553.5,2348.5,No
